original_id,consolidated_id,consolidated_name
ABR943740203877,ABR943740203877,AVR Energie GmbH
ABR905440183989,ABR905440183989,AVR Kommunal AöR
ABR996877996150,ABR996877996150,AVU Aktiengesellschaft für Versorgungs-Unternehmen
ABR985010604403,ABR985010604403,AWA Entsorgung GmbH
ABR915523079573,ABR915523079573,AWB Abfallwirtschaftsbetrieb Landkreis Uelzen
ABR918813869038,ABR918813869038,AWB Amtzeller Werk für Biogas GmbH
ABR901954133120,ABR901954133120,AWG Abfallwirtschaft Landkreis Calw
ABR994977045624,ABR994977045624,AWG Donau-Wald mbH
ABR997521789296,ABR997521789296,AWIGO Biomasse GmbH
ABR959122608864,ABR959122608864,AWM Abfallwirtschaftsbetriebe Münster
ABR944035454882,ABR944035454882,AWO Reha-Gut Kemlitz gGmbH
ABR900826302220,ABR900826302220,AWR Bioenergie GmbH
ABR913791718378,ABR913791718378,AWS
ABR980898938695,ABR980898938695,AWT-Abfallwirtschaftszentrum Trittau GmbH ＆ Co.KG
ABR917355848204,ABR917355848204,AZF Bioenergie GmbH Breitenau
ABR991422342505,ABR991422342505,AZV Abwasserverband Stockacher Aach
ABR932937861105,ABR932937861105,AZV Erdinger Moos
ABR984073081558,ABR984073081558,AZV Südholstein
ABR918174496676,ABR918174496676,Aalberts Biogas GmbH ＆ Co.KG
ABR934517394744,ABR934517394744,Aalberts-Krap GmbH
ABR999339433897,ABR999339433897,Abele Biogas GbR
ABR924988879642,ABR924988879642,Aben Recycling BV
ABR938973455681,ABR938973455681,Abfall-Wirtschafts-Service GmbH
ABR940720920076,ABR940720920076,AbfallWirtschaftsGesellschaft mbH
ABR951059835795,ABR951059835795,Abfallbeseitigungs-GmbH Lippe
ABR928831231595,ABR928831231595,Abfallentsorgungsverband Schwarze Elster
ABR906342863399,ABR906342863399,Abfallverbrennungs- und Biokompost-Gesellschaft mbH
ABR981438761810,ABR981438761810,Abfallwirtschaft GmbH Halle-Lochau
ABR994980798333,ABR994980798333,Abfallwirtschaft Rems-Murr AöR
ABR951804890352,ABR951804890352,Abfallwirtschaft Rendsburg-Eckernförde GmbH
ABR950469070116,ABR950469070116,Abfallwirtschaft Sachsen-Anhalt Süd - AöR
ABR999217168002,ABR999217168002,Abfallwirtschafts-GmbH Landkreis Bad Kissingen
ABR900683424035,ABR900683424035,Abfallwirtschaftsbetrieb Landkreis Alzey-Worms
ABR940030782197,ABR940030782197,Abfallwirtschaftsbetrieb Landkreis Bad Dürkheim
ABR954839287135,ABR954839287135,Abfallwirtschaftsbetrieb Landkreis Bad Kreuznach
ABR913564318644,ABR913564318644,Abfallwirtschaftsbetrieb Landkreis Emsland
ABR962845551454,ABR962845551454,Abfallwirtschaftsbetrieb Nationalparklandkreis Birkenfeld
ABR967760523029,ABR967760523029,Abfallwirtschaftsbetrieb des Landkreises Rastatt
ABR934752912550,ABR934752912550,Abfallwirtschaftsgesellschaft Landkreis Vechta mbH
ABR911950018666,ABR911950018666,Abfallwirtschaftsgesellschaft Nordfriesland mbH
ABR961167301624,ABR961167301624,Abfallwirtschaftsgesellschaft des Kreises Warendorf mbH
ABR963594096890,ABR963594096890,Abfallwirtschaftsverband Chemnitz
ABR991227601029,ABR991227601029,Abfallwirtschaftszentrum Rastorf GmbH ＆ Co. KG
ABR997605056016,ABR997605056016,Abfallzweckverband Rhein-Mosel-Eifel Deponie Eiterköpfe
ABR939566998851,ABR939566998851,Abfallzweckverband Stadt und Landkreis Hof
ABR976799985173,ABR976799985173,Abfallzweckverband Südniedersachsen
ABR906269982524,ABR906269982524,Abtei Bäuerliche AG
ABR981667007840,ABR981667007840,Abtei Energie GmbH
ABR968565943685,ABR968565943685,Abtei Münsterschwarzach / Vier-Türme GmbH
ABR947750098416,ABR947750098416,Abtmeier Biogas Gbr
ABR914115803121,ABR914115803121,Abwasser Zweckverband Elz-Neckar.de
ABR917032352345,ABR917032352345,Abwasser Zweckverband Schmeietal
ABR961308942099,ABR961308942099,"Abwasser, Grün ＆ Lüneburger Service GmbH"
ABR918834680902,ABR918834680902,Abwasser- und Straßenreinigungsbetrieb Stadt Gifhorn
ABR964619543689,ABR964619543689,Abwasser- und Umweltverband Chiemsee
ABR916808978499,ABR916808978499,Abwasseranlagen Spremberg GmbH
ABR947760639357,ABR947760639357,Abwasserbeseitigung Stadt Bremervörde
ABR940294751441,ABR940294751441,Abwasserbeseitigung Weißenfels AöR
ABR991307986565,ABR991307986565,Abwasserbeseitigungsbetrieb der Stadt Bramsche
ABR997320935504,ABR997320935504,Abwasserbeseitigungsbetrieb der Stadt Pirmasens
ABR965710905680,ABR965710905680,Abwasserbetrieb
ABR934808551764,ABR934808551764,Abwasserbetrieb Berg-und Universitätsstadt Clausthal-Zellerfeld
ABR982941854815,ABR982941854815,Abwasserbetrieb Gemeinschaftsklärwerk Verl-Sende
ABR903168519530,ABR903168519530,Abwasserbetrieb Stadt Stadthagen
ABR968952031711,ABR968952031711,Abwasserbetrieb TEO AöR
ABR945965997845,ABR945965997845,Abwasserbetrieb Warendorf
ABR958107305316,ABR958107305316,Abwasserbetrieb der Stadt Billerbeck
ABR914854224737,ABR914854224737,Abwasserbetrieb der Stadt Bückeburg
ABR969954330963,ABR969954330963,Abwasserbetrieb der Stadt Uslar
ABR956457865931,ABR956457865931,Abwasserentsorgung Bargteheide GmbH
ABR952770085308,ABR952770085308,Abwasserentsorgung Südheide
ABR987861726921,ABR987861726921,Abwassergesellschaft Stendal mbH
ABR913961316649,ABR913961316649,Abwasserreinigungsbetriebe der Stadt Osterode a. Harz GmbH
ABR904258587835,ABR904258587835,"Abwasserverband ""Obere Dietzhölze"""
ABR903851758116,ABR903851758116,"Abwasserverband ""Oberes Pfinz- und Arnbachtal"""
ABR954209589715,ABR954209589715,Abwasserverband Albtal
ABR968293404380,ABR968293404380,Abwasserverband Auetal
ABR925524925847,ABR925524925847,Abwasserverband Bergstraße
ABR921446390527,ABR921446390527,"Abwasserverband Bickenbach, Seeheim-Jugenheim"
ABR992561844585,ABR992561844585,Abwasserverband Braunschweig
ABR905457873545,ABR905457873545,Abwasserverband Empfingen
ABR934689632484,ABR934689632484,Abwasserverband Emsbachtal
ABR931496338349,ABR931496338349,Abwasserverband Flörsheim
ABR980828966729,ABR980828966729,Abwasserverband Fulda
ABR945595102367,ABR945595102367,Abwasserverband Gelnhausen
ABR958766930409,ABR958766930409,Abwasserverband Großraum Bad Lauterberg im Harz
ABR971751227001,ABR971751227001,Abwasserverband Hellertal
ABR956663295621,ABR956663295621,Abwasserverband Idstein
ABR907384772168,ABR907384772168,Abwasserverband Isar-Loisachgruppe Geschäftsstelle
ABR920813624791,ABR920813624791,Abwasserverband Ittertal
ABR924606862971,ABR924606862971,Abwasserverband Kämpfelbachtal
ABR983565053486,ABR983565053486,Abwasserverband Köthen
ABR926959904872,ABR926959904872,Abwasserverband Langen/Egelsbach/Erzhausen
ABR945324204782,ABR945324204782,Abwasserverband Lauter-Wetter
ABR983267213669,ABR983267213669,Abwasserverband Lipbach-Bodensee
ABR996892619621,ABR996892619621,Abwasserverband Main - Taunus KdöR
ABR997182428626,ABR997182428626,Abwasserverband Marburg
ABR997991794264,ABR997991794264,Abwasserverband Mittlere Salzböde
ABR924673324013,ABR924673324013,Abwasserverband Mittlerer Rheingau
ABR971961235506,ABR971961235506,Abwasserverband Modau
ABR924172411030,ABR924172411030,Abwasserverband Murg
ABR901754334406,ABR901754334406,Abwasserverband Obere Iller
ABR965221929311,ABR965221929311,Abwasserverband Oberer Rheingau
ABR991965606249,ABR991965606249,Abwasserverband Oberes Erlenbachtal
ABR917695010040,ABR917695010040,Abwasserverband Oberhessen
ABR943976779535,ABR943976779535,Abwasserverband Overledingen
ABR934923510882,ABR934923510882,Abwasserverband Radolfzeller Aach
ABR996418316997,ABR996418316997,Abwasserverband Rothach
ABR942267178910,ABR942267178910,Abwasserverband Schleifbach KdöR
ABR936445587151,ABR936445587151,Abwasserverband Stadtallendorf-Kirchhain
ABR953671704824,ABR953671704824,Abwasserverband Untere Rodau
ABR913859319608,ABR913859319608,Abwasserverband Unterer Neckar
ABR974404382584,ABR974404382584,Abwasserverband Unteres Schussental
ABR954344017210,ABR954344017210,Abwasserverband Untermain
ABR933548138372,ABR933548138372,Abwasserverband Weilburg
ABR971978688913,ABR971978688913,Abwasserverband Weißach- und Oberes Saalbachtal
ABR936051938491,ABR936051938491,Abwasserverband Wetzlar
ABR967515446832,ABR967515446832,Abwasserverband der Aschafftalgemeinden
ABR931585593246,ABR931585593246,Abwasserwerk Geseke
ABR970877625623,ABR970877625623,Abwasserwerk Greifswald
ABR997186781611,ABR997186781611,Abwasserwerk Maifeld
ABR958756555452,ABR958756555452,Abwasserwerk Verbandsgemeinde Jockgrim
ABR940886942301,ABR940886942301,Abwasserwerk der Stadt Bad Honnef
ABR940997966920,ABR940997966920,Abwasserwerk der Stadt Bad Iburg
ABR982734905427,ABR982734905427,Abwasserwerk der Stadt Coesfeld
ABR912030693292,ABR912030693292,"Abwasserzweckverband ""Obere Spree"""
ABR976570947024,ABR976570947024,"Abwasserzweckverband ""Saalemündung"""
ABR900467148065,ABR900467148065,"Abwasserzweckverband ""Schmalkalden und Umgebung"""
ABR981022127251,ABR981022127251,Abwasserzweckverband Altenstadt - Neustadt - Störnstein
ABR908930882027,ABR908930882027,Abwasserzweckverband Altensteig
ABR976504533125,ABR976504533125,Abwasserzweckverband Bautzen
ABR993458558622,ABR993458558622,Abwasserzweckverband Betzdorf-Kirchen-Daaden
ABR991026659191,ABR991026659191,Abwasserzweckverband Bühl und Umgebung
ABR912341776332,ABR912341776332,Abwasserzweckverband Chemnitz/Zwickauer Mulde
ABR916004992008,ABR916004992008,Abwasserzweckverband Eisenbach-Vöhrenbach
ABR908719504119,ABR908719504119,Abwasserzweckverband Füssen
ABR945296334005,ABR945296334005,Abwasserzweckverband Hagegarten
ABR964187782121,ABR964187782121,Abwasserzweckverband Hagenow und Umlandgemeinden
ABR914071601137,ABR914071601137,Abwasserzweckverband Hausach - Hornberg
ABR905458349582,ABR905458349582,Abwasserzweckverband Härtsfeld
ABR958372998787,ABR958372998787,Abwasserzweckverband Im Hollmuth
ABR954665165690,ABR954665165690,Abwasserzweckverband Kinzig- und Harmersbachtal
ABR924180916114,ABR924180916114,Abwasserzweckverband Kraichbachniederung
ABR987023836215,ABR987023836215,Abwasserzweckverband Lauter-Rems
ABR995730439216,ABR995730439216,Abwasserzweckverband Lechfeld
ABR972357029198,ABR972357029198,Abwasserzweckverband Mariatal
ABR918921914620,ABR918921914620,Abwasserzweckverband Meckesheimer Cent
ABR954809072891,ABR954809072891,Abwasserzweckverband Mittlere Fils
ABR903567718626,ABR903567718626,Abwasserzweckverband Mittlere Mulde
ABR973769509902,ABR973769509902,Abwasserzweckverband Nagold
ABR935365770858,ABR935365770858,Abwasserzweckverband Pünderich
ABR995059638475,ABR995059638475,Abwasserzweckverband Region Heide
ABR933549407934,ABR933549407934,Abwasserzweckverband Riß
ABR914679107345,ABR914679107345,Abwasserzweckverband Schwarzbachtal
ABR962843997957,ABR962843997957,Abwasserzweckverband Schwarzwasser
